title,authors,orgs,source,year,volume,issue,pages,keywords,abstract,doi,cited_count,download_count,fund,classification,clc_code,url,uid
CT联合磁共振弥散加权成像对子宫肌瘤变性的诊断价值,杨昌芬 ; 粟周海 ; 商观锋 ; 黄贵 ; 周玲玲 ; 贵州医科大学第二附属医院放射科,,当代医药论丛,2025,,,,磁共振弥散加权成像 ; 电子计算机断层扫描 ; 子宫肌瘤变性 ; 诊断价值,"目的：探讨电子计算机断层扫描（CT）联合磁共振弥散加权成像（MRI-DWI）对子宫肌瘤变性的诊断价值。方法：选取2022年6月至2024年6月在贵州医科大学第二附属医院就诊的疑似子宫肌瘤变性患者共计116例，所有患者均进行CT、MRI-DWI筛查诊断，以症状、病理学检查、随访结果作为金标准，分析CT联合MRI-DWI在子宫肌瘤变性患者早期筛查诊断中的应用价值。结果：116例疑似子宫肌瘤变性患者中，经病理学检查确诊为恶性101例（87.07%），良性15例（12.93%）;MRI-DWI检查的特异度、灵敏度、阳性预测值、阴性预测值、准确度分别为73.33%、90.10%、95.79%、52.38%、87.93%,CT检查分别为40.00%、87.13%、90.72%、33.33%、81.03%,CT联合MRI-DWI检查分别为93.33%、97.03%、98.99%、82.35%、96.55%，与单独CT、MRI-DWI检查比较，CT联合MRI-DWI检查的诊断效能更高（P <0.05）;CT联合MRI-DWI检查对子宫肌瘤变性发病位置诊断准确率较单独CT、MRI-DWI检查高（P...",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6W2jwSKstY8KI9hK_dsUVbZEX97Xwz1R-eM8bjPny-t_UM1xssed7GeBJ0KNhDu8-oUXqtcOBFGj4xjfcQ6rHVim5qeoZAPF0Jgh602GT1bjcLI9WrRax1lZ4Ef8YMFxnWDvfXNvLZaEpj09uBE6Ut-li842akvWO4mU0bZsBGBg==&uniplatform=NZKPT&language=CHS,1c34852271b1
Chinese experts’ consensus on the diagnosis and treatment of severe and critical patients with coronavirus disease 2019 题录,Chinese Research Hospital Association of Critical Care Medicine ; Youth Committee of Chinese Research Hospital Association of Critical Care Medicine,,中华危重病急救医学,2020,,,,Coronavirus Disease 2019 ; Expert consensus,"The coronavirus disease 2019 (COVID-19) seriously threatens the health of humans worldwide, and at the time of this writing, there is no specific antiviral treatment for COVID-19. To reduce the case mortality, experts at the frontlines of the COVID-19 pandemic in China, have collected, analyzed, and summarized data on the clinical diagnosis and treatment of severe and critical patients with COVID-19 in Wuhan and other severe disaster areas. Here, we present the Chinese experts’ consensus on the ...",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF4P68pPOP_-NW99VRRADmqRwv5Kp8nmrf-d-M8rBo7f_whsUJChUOFLhL9KC9ag5O8HiqdNYjERLfum0pqLqU7Rn-C9iphjaVA1oeR8zGFL2Emu7QRwJDulmMggcdEyJ1-ksgGgfhqpodFMm9NtQ8VYpaeJ0CN1Jc7M8g5leJxRHA==&uniplatform=NZKPT&language=CHS,a2ac0ddb1a25
重组缩短的葡萄球菌类肠毒素X蛋白克隆表达及催吐活性评价 题录,"王铜1,2 ; 陶晓霞2 ; 孟凡亮2 ; 李心朋3 ; 小野久弥4,5 ; 王多1,2 ; 胡东良5 ; 张建中2 ; 王国庆1 ; 闫笑梅2 ; 1.北华大学医学技术学院, 吉林 ; 2.传染病预防控制国家重点实验室, 感染性疾病诊治协同创新中心, 中国疾病预防控制中心传染病预防控制所, 北京 ; 3.山东省疾病预防控制中心, 济南 ; 4.弘前大学大学院医学研究科, 弘前-8562, 日本 ; 5.北里大学兽医学部, 十和田-8628, 日本",,中华流行病学杂志,2020,,,,肠毒素 ; 重组蛋白 ; 包涵体 ; 复性 ; 催吐活性,"目的分析缩短的葡萄球菌类肠毒素X(truncated Staphylococcal enterotoxin-like toxin X, tSElX)氨基酸多态性, 对其进行克隆表达纯化并对催吐活性进行评价。方法将tselx序列与本课题组前期完成测序的145株CC398菌株基因组序列及NCBI数据库进行比对分析。设计引物扩增tselx目的基因, 将该片段重组于pMD18-T载体中并进行测序鉴定。经限制性内切酶BamHⅠ和EcoRⅠ双酶切后将目的片段构建于质粒pGEX-6P-1及pET-28a(+)中, 重组质粒鉴定后, IPTG诱导蛋白表达。将以包涵体形式表达的蛋白进行变性和复性, 用亲和层析法和超滤法对表达产物进行纯化。将纯化的tSElX蛋白以250 μg/kg喂饲普通狨猴, 观察呕吐反应。结果 tselx基因在我国不同来源(患者、健康人群和动物)的145株CC398菌株均存在。我国菌株编码蛋白的氨基酸序列同源性为100.0%, 与4株美国菌株的同源性分别为97.8%(1株)和98.9%(3株)。通过两套表达系统及不同诱导条件, tSElX均以包涵体形式表达。通过变性及复性, 获得高纯...",,,,国家重点研发计划(2018YFC1603800)；,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7phcOqpwuAPW3XnSdfaeyF84SuOjwUFnJ2LciI2HU5ZgJZDyygo5qn1RvuWcHxyoMLGdMcvYG4voD0IrcJDHt59AK8j5hYNDiHGRLrknARhpSsRmbX9kt8SsnS39y72xqwzPbA3Q-6XXVm-Xoo1mVUSMCw5g5N3c0o-5byXVEyGA==&uniplatform=NZKPT&language=CHS,73363f95efd4
《中华核医学与分子影像杂志》2020年第3期导读 题录,,,中华核医学与分子影像杂志,2020,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6JuScrAcOD75CQcaCdAps8s8oTj1M_RFzh7oSezhQRm9-bJx5s1NkysPb9xPVr9s5azkXzCV2OU0LA-yb1grX7doKrh2tZTWf-kvhyrxAsiWv0hpBdDwQqQl3m_MIe8r5xvLIpb_5J6uLEEsZNSVmDFFRBdbqKRfCGirkEZbFqzA==&uniplatform=NZKPT&language=CHS,05ec4e1357c5
《中华核医学与分子影像杂志》2020年第2期导读 题录,,,中华核医学与分子影像杂志,2020,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF6JuScrAcOD75CQcaCdAps8s8oTj1M_RFzh7oSezhQRm7yg_ftwSRokHEOoLmZ9Y5pEKbNloMisHPjaeGCVWhCCLMnNIac5C2rzBul79GQbXKaGMi1rRNfL3Evftl0QMlhgY0Zze4oOGWIxr2B_MkbsKMfCjsmLqAb8gWGBoqtISQ==&uniplatform=NZKPT&language=CHS,7d0b6fb098fc
Paired associative stimulation improves hand function after non-traumatic spinal cord injury: A case series 题录,,,中华物理医学与康复杂志,2020,,,,,"BACKGROUND AND OBJECTIVES Long-term paired associative stimulation (PAS) is a non-invasive combination of transcranial magnetic stimulation and peripheral nerve stimulation and leads to improved hand motor function in individuals with incomplete traumatic tetraplegia. Spinal cord injuries (SCIs) can also be induced by neurological diseases. We tested a similar long-term PAS approach in patients with non-traumatic neurological SCI.METHODS In this case series, five patients with non-traumatic tetr...",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF5V0KFL170SwvW4ODvVOobKA7_aUl9dYmRcQIt3pzoHYU-TqCEW8uDXHYemw93Z5-RxOOrUoTJrXU6PYluXpY4ZPEf0hWo0tk4PpNpxa1YgAUNVY9l6d92kTSKBLa60_kdYHv2FH2dRRKssx02oJIHhSKgnPLPv1n6Hj_ztAZYt5w==&uniplatform=NZKPT&language=CHS,af5e22c34bf2
Paired associative stimulation modulates corticomotor excitability in chronic stroke 题录,,,中华物理医学与康复杂志,2020,,,,,"BACKGROUND Paired associative stimulation (PAS) combining repeated pairing of lectrical stimulation of a peripheral nerve with transcranial magnetic stimulation (TMS) over the primary motor cortex (M1) can induce neuroplastic adaptations in the human brain and enhance motor learning in neurologically-intact individuals. However, the extent to which PAS is an effective technique for inducing associative plasticity and improving motor function in individuals post-stroke is unclear.OBJECTIVE The ob...",,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF51TVQnTCDAVq-9Z_fzqBpwTgg2H1gG-Nl_ts5BrJKUh_W4e72kO-AIVs6qpl0ezapgIRhWpHAKq9pEnAF__ndLUcOuLzFZluE4S2pKo44OpJlhXDW-bxTTh9dYlLQYmcSjPVDAnuYTqFnwaFivX9ZqfyLyqgNp0utvzwmxZAa1lA==&uniplatform=NZKPT&language=CHS,f0d897eee656
《中华核医学与分子影像杂志》2020年第1期导读 题录,,,中华核医学与分子影像杂志,2020,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF51TVQnTCDAVq-9Z_fzqBpwTgg2H1gG-Nl_ts5BrJKUhzvcBGbijpFiNfRDpkJNxduw6DoNWTPjXtl3IULOsk4S-nNVtR-UPVoPCzFkYLXBGyQekBPCv8jh2Yj-CGA8U-C0G_W-iEI96wH3RLzfhORgYv0hLgbH0KodPGk3IHK_wA==&uniplatform=NZKPT&language=CHS,a8bf1509ecbd
卷首语 题录,黎晓新,,中华眼底病杂志,2020,,,,,,,,,,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7FgaaIn2Lj4iDx_ylmvgvZEoB4p2chOO0n__WNEQiI4bt2CNiod8yAJBwAkHpsMUagSGTTLOPK5O3SLFLl-lvZKyBBt0N5HVI0-MgyL6X_l0IisE4HoBFGuORye0EgAFSco8-lH_lvePjEzOCgqLxKbk3d2ylYZBgA6uitnivSJA==&uniplatform=NZKPT&language=CHS,01f1c7a4047d
人工智能在医学领域应用浅析 题录,王晨阳1 ; 潘习龙1 ; 吴曼琪1 ; 李勇刚2 ; 1.北京大学公共卫生学院,,中华医院管理杂志,2020,,,,信息服务 ; 人工智能 ; 医学 ; 应用领域,"医疗与人工智能相结合, 是医学发展的重要方向。作者综述了人工智能在诊断、治疗、预防、科研、教学等医学领域的应用情况, 分析了人工智能发展面临的问题和挑战, 对人工智能的应用前景进行了展望。",,,,北京大学医学部与深圳腾云人工智能科技有限公司联合资助课题(2019)；,,R-01,https://kns.cnki.net/kcms2/article/abstract?v=4Kwr3-EHKF7FgaaIn2Lj4iDx_ylmvgvZEoB4p2chOO0n__WNEQiI4Wciwpy6JzMhefukzOE9XdrA9bZ2MHIpbKFiEb8VDITnfp1jXppK6rR2lu-AeMLbVAZxsgRJQGaznqZnuia9px9hV8ssdJyL78-tlh4JSv7p51KrfOhYngm8XlQIQq4cig==&uniplatform=NZKPT&language=CHS,5e71fd8ed2ef
